"","share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","home_team_selected","early_season","winrate_selected_team","winrate_opposing_team","travel_differential","rest_differential","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team"
"150",0.0177145465790881,-0.00906204001518605,0.0934212839631091,-0.059843576948196,0,0,0.0569140568683846,0,-0.0671068207629433,-0.0335020366610456,0,0,0.00299989401861742,-0.0339315330145103,0,-0.00176342362909676,0,0,0,0.0632140490938035,-0.0951135442019472,-0.0480825551991282,0,-0.121307793862564,0.0834759641012301,-0.00937352060513541,0.302256333525231,0,0.146402594281874,-0.614657994269081,0.175581926443596,0,"2015-11-15aacemnnoooorrSttT",2015-11-15,"Sacramento","Toronto","Sacramento","Toronto"
"151",0.0131217810096289,-0.00975414821878265,-0.0272283355287782,0,0.0398407732914508,-0.0441924733411196,-0.074334338645163,-0.0803360328125357,0.0383543227609447,0,0.0741919965242448,0.0088478497340804,-0.211997879264618,0,0.0761301044469583,0,0,0,0,-0.0619292876490363,0,-0.00989625657068197,0,0,-0.0820158792615042,0.0960112737964786,0.302256333525231,0,0.425426950153007,-0.288980997305613,0.0153257238265537,0,"2015-11-15aeehiimMMnnopsst",2015-11-15,"Minnesota","Memphis","Minnesota","Memphis"
"152",-0.0197368913073038,0,0,0.0587993869198924,0,0.0917947582462661,0,0.0744586208460898,0.0978672427750385,-0.131810720473443,0,0.0336998302483583,0.0375570005581507,0,-0.0640066910390709,-0.000962348021018835,0,0,0,-0.0082956402060857,-0.0947847337433524,0,0,-0.0638426351423076,0.0837412840142799,0.0802178668032621,0.283633842754416,0,0.441185691322455,-0.24125915070908,0.0841678260965036,0.0445061380103885,"2015-11-16 aaAdilnnnnoooPrStt",2015-11-16,"San Antonio","Portland","San Antonio","Portland"
"153",0.00639971959258961,-0.00845609770012065,0,-0.0565304592550449,-0.0346941577161929,0.0409894764873269,0.0114510954145402,0.0899446514518927,0.019908776543057,0,-0.0726213252053784,-0.033368882295091,0.196124588453259,0,-0.0331210718819667,0,0,-0.30212729733929,0,0.0463606319924185,0,0,0,0.0889852972185246,0.0826299288673983,0,0.283633842754416,0,0.282193142155295,-0.508654709411644,-0.0315684771292577,0,"2015-11-16 aaCehhiiklmmMoOpsty",2015-11-16,"Memphis","Oklahoma City","Memphis","Oklahoma City"
"154",0.0246634560950975,-0.00896136667791952,-0.101259393173566,-0.00274968768634623,-0.0726798692199101,0.0378574838804832,0.0195746023113068,0.0943349901751976,-0.0434115482004377,0.251682241365851,0,0.00158172680675548,0.0617310331843886,0,0,0,0,0,0,0.0723216344246254,-0.17851395730688,0.0657559301267733,-0.043389056257411,-0.0800273387578147,0,0,0,0,0.101926478211316,-0.444151394812341,-0.0272096758416956,-0.0445061380103885,"2015-11-16 aAeehikLLnoPrsx",2015-11-16,"Phoenix","LA Lakers","LA Lakers","Phoenix"
"155",-0.0194368416088307,-0.00803491751478845,0,-0.0697141136192806,0,0.0517373820980579,0.04789289492468,0,0,-0.229661833957406,-0.0696915253981058,-0.0278237738686317,0.0690935429777299,0,-0.043666964270625,-0.00407542179500526,0.369402480277043,0,0,0.0132047370245168,0,0,0,0.116884496980477,0,0.0751622630374182,0,0,0.34919256424247,0,0.0126111383105526,0,"2015-11-16aaaadDehhiillllpPs",2015-11-16,"Philadelphia","Dallas","Dallas","Philadelphia"
"156",-0.00252848912023367,0.00045012972679876,0.103797335023554,0.0588540916993037,-0.0735400312786769,0,0.108625962535242,-0.000999015648341608,-0.046620681526066,-0.124394117232892,0,0.0245498912886969,0.0149844229223312,0,0.0566557007816347,-0.00390815167124786,0,0,0,0,-0.170727044392705,0,0,0,0.0778656883071356,0.0940775542850783,0.283633842754416,0,0.463302173687798,-0.571499367349822,0.0125684691638828,0,"2015-11-16aaacCdghiiInno",2015-11-16,"Chicago","Indiana","Chicago","Indiana"
"157",0.0162283005543686,-0.00213881669356397,0,0,-0.153061790883653,-0.0542082403087406,0.0613373714771885,-0.0669365911572141,0.0390295976047018,0.163362822145413,0.0652472135588705,0,-0.191907003830895,0,-0.0352674075600354,0,0,0.322080893246251,0,0.0971467334995495,-0.073227108718704,0,0.0429203876068766,-0.0950882851081301,0,0,0.283633842754416,0,0.342843608528971,-0.459509326859794,0.0315391460667461,0.0445061380103885,"2015-11-16BHnnoooossttu",2015-11-16,"Houston","Boston","Houston","Boston"
"158",0,-0.00633582825234144,0,0,0,-0.0319851907262706,-0.0114829460991997,0,-0.0700220876743034,0.152132666501549,0,0.00125707703836532,-0.0985104064475853,0,-0.099067677541926,0.00967444249888642,-0.220895920743108,0,0,-0.0329276718890902,0,0,0,-0.127900344589765,0,0.100427422085113,0.329036710572287,0,0.365915947399618,-0.570364556469811,0.0425950695238408,0,"2015-11-17 aCeehklNoorrttwY",2015-11-17,"New York","Charlotte","New York","Charlotte"
"159",0.0370550711232222,0.00194855949617571,0,-0.0648764797645648,0,-0.0363974522045152,-0.0354153698811044,0,0.0542114400706693,0.161700481339029,0.0890012293435847,0,0.00677517863364611,0.0242487053704017,0.00419989761481336,-0.00221449579035598,0,0,0,-0.0787366202390405,0,0.100423488024755,0,0.108988295397539,0,-0.0922913489867854,0.329036710572287,0,0.133533307818818,-0.3937090275752,0.0116175724928611,-0.0495108171956307,"2015-11-17 aDeeeelnnNOrrsvw",2015-11-17,"New Orleans","Denver","New Orleans","Denver"
