"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","fb","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstaces","performance"
0.0547078034237784,0,0,-0.0709436817846537,0.0355472881395029,0,0,-0.0280996613601721,0,0.00379951286264539,0,0.0849020284485089,-0.00262717203061958,-0.366640271029895,0.00293778284525439,0,0,0.000909890394689747,0,0,-0.00785927367031399,0,0,0,0.0327639030934162,0.0462446515745136,0.214483690695039,-0.119955840918583,0.335177508448023,0,0,0.0028920090884015,-0.0389870905621007,0.697918279121856,-0.15188997770676,-1.01120411832782,0.225907557112066,"2016-12-15adDeelnnoPrrtv",2016-12-15,"Denver","Portland","Denver","Portland",-0.214357199093345,0.429705358224479,-0.236376250712253
-0.038753164204897,0,0,0.0469305544726246,0,0.0674574373841878,0,-0.0693466766772765,0,0.0113659589966703,0,0,0.00479476597239878,0,-0.0293295466484206,0,0.00467838716565879,-0.00070935249875034,0,0.0428677597307921,-0.0323443884726406,0,0,0.0336019006089033,-0.0814779606437431,0.0123032758269171,0.017828897697623,-0.119955840918583,0.223451672298682,0,0,0,-0.0389870905621007,0.346064229841876,-0.075314961261549,-1.12203501274507,0.250667678393761,"2016-12-16 aaaAdeehhiikllLLpPrs",2016-12-16,"Philadelphia","LA Lakers","Philadelphia","LA Lakers",-0.0279610489875753,0.121324729077722,-0.600618065770982
0,0.0107152639823013,-0.00300048589184929,0.0393784403600695,0,0.0983456364937243,-0.113354926344526,0.00409488627513693,0,-0.0151936123175885,-0.0501832950802185,0,-0.00273802248651686,0,-0.047009818061952,-0.0599086927269375,0,-0.00017166407383676,-0.109451574203484,0,0,0,0,0,0,0.0175416644419391,0.0448724930457348,-0.119955840918583,0.223451672298682,0,0,0,-0.0389870905621007,0.551507706852805,-0.120026220554617,-1.77208678411868,0.395892173632394,"2016-12-16 aACeiiilLmMpprs",2016-12-16,"Miami","LA Clippers","Miami","LA Clippers",-0.230936199633739,0.148368324425834,-0.944713124188099
0,0,0,0.0872816451177832,0.0887100138213505,0.0525572914618185,-0.142806163177612,0.0567387206924333,0,0.0238678549742024,-0.038894454577763,0,0.00233134523662654,0.376667269668625,0.076352708611646,-0.0586146198479713,-0.0398017486068001,-0.0019374530774025,0,-0.131128973113787,0,-0.109739417118286,0,0,-0.010274977361756,-0.016642896366177,0.0694594274763812,-0.0599779204592916,0.223451672298682,0,0,0,-0.0389870905621007,1.24302513086437,-0.270523161613548,-0.475196009495284,0.106160930032605,"2016-12-16 aeeHlnnNooOrsstuw",2016-12-16,"Houston","New Orleans","Houston","New Orleans",0.21466614633693,0.232933179315771,0.603466889788141
-0.0540754582534304,0.072115449680426,0,0,-0.029900103571562,-0.0868413304883417,0,-0.0676553741968412,0,0.0189469929900187,0,0,0.00837709984461596,0,0.00159115284938486,0.046979529884465,-0.0407084822069339,-0.000729629526065728,0.112020375305757,0,0,0,0,0.0444453424542512,0.0400995847893018,-0.0205651246219574,0.218364168243849,-0.119955840918583,0.223451672298682,0,0.119800755368103,0,-0.0389870905621007,1.13104189307307,-0.246151925036893,-0.354379145400785,0.0791698981223884,"2016-12-16aaaDhllstU",2016-12-16,"Utah","Dallas","Utah","Dallas",0.0441000249330884,0.321859999623948,0.729481476125885
0.0820907767934857,0,-0.0773037502299434,-0.0732573879492905,0,0,0,-0.0392664723088342,0,-0.00278345813150681,0.0643819920532607,0.0573578316499303,0.00273703619567758,0,-0.00460726608920777,0,0.00604345748007979,0.00202682670107878,0.12677665565414,0,-0.0413200161041776,0,0,0,0,-0.0217478310543863,0.160727822496161,-0.179933761377875,0.223451672298682,-0.0635147782643806,0,0,-0.0389870905621007,1.40812199704174,-0.306453671063293,-1.57802966923598,0.352538939632654,"2016-12-16aaAlnnooortttT",2016-12-16,"Toronto","Atlanta","Toronto","Atlanta",0.0811283946603058,0.140730955152587,-0.123822403624875
0.0664654389349225,-0.0943319077914996,0,-0.0122263715116703,0,0,0,0.0609258032204989,0,0,0,-0.108667309684039,0.00523248039827385,0,-0.0585525433488091,0,0,-0.000223954474157861,-0.115032181874837,0,0.0620366712137334,0.121942712263362,0,0,-0.0352228149163606,-0.0243093862327476,0.0178019545158772,-0.0599779204592916,0.111725836149341,-0.0154200082070311,0,0,-0.0389870905621007,0.982764012948436,-0.213881780264536,-1.39595446430087,0.311862518312705,"2016-12-16aacCeeghiiklMouw",2016-12-16,"Chicago","Milwaukee","Milwaukee","Chicago",-0.13196336380333,0.0541298619988955,-0.315209713304263
0,0,0,0.00134308598761199,0,-0.181430749221879,-0.0894038978028876,0.0623025608821487,0,-0.0145848538237433,0.0505889427157281,0,0.00246830603199554,0,0.0446205348594152,0.0713147542140868,0,-0.000969429453435431,-0.0984475807037516,0,0.0244968792016813,0,0,0,0.0371024532727518,0.0043039961867588,0.105906784268969,-0.119955840918583,0.223451672298682,-1.11702248815848e-08,0,0,-0.0389870905621007,1.27360605519667,-0.277178576801884,-0.636802832993741,0.142264622697098,"2016-12-16aaceehimmMnoprsSt",2016-12-16,"Memphis","Sacramento","Memphis","Sacramento",-0.0862949976535189,0.209402604478842,0.501889268098139
0.151065638973286,-0.041271429124971,0,-0.0633503282260678,0.0795402389366054,0.0715610904764172,-0.0906039574759334,0.0116536810926172,0,9.96480588536064e-05,-0.054362446271419,0,0.00290944590021303,0.30599212426025,0,0,0.056917316433141,-4.68375872592141e-05,0,0,-0.00370540164121725,0,0,0,-0.0299926185011751,0,0.0860757100993064,-0.119955840918583,0.223451672298682,-0.334229538907217,0.119800755368103,0,-0.0389870905621007,1.05413780126351,-0.229415064662336,-1.4815384780153,0.330982372668169,"2016-12-16aBCehlnooorsttt",2016-12-16,"Boston","Charlotte","Boston","Charlotte",0.39640616530334,-0.144657997427812,-0.20603261337786
0,0,0,0.0465549780121659,0.0685289051613324,0,0.161183507471821,-0.0256190807113377,0,-0.0110123768921175,0,0.081760144459217,0.000404366199164013,0,0.0915645701939239,0,-0.142646403711025,0.00154862142467219,0,0.0859451323448308,-0.0275896832441116,0,0,-0.0402244942640169,0,0,0.205144554840189,-0.119955840918583,0.223451672298682,0,0,0,-0.0389870905621007,0.885023683643673,-0.192610269138862,-0.677490441176207,0.151354417727239,"2016-12-16aBdkllnnoooOrry",2016-12-16,"Orlando","Brooklyn","Orlando","Brooklyn",0.290398186444518,0.308640386220288,0.166277391055843
