"","DATE","PLAYER_FULL_NAME","Cluster","points","assists","offensive_rebounds","defensive_rebounds","turnovers","threepointers_made","threepoint_attempts","steals","minutes","fieldgoal_attempts","fieldgoals_made","freethrow_attempts","freethrows_made","fouls","blocks"
"26",2015-11-27,"Cristiano Felicio",0,2,0,0,0,0,0,0,0,2.13,1,1,0,0,0,0
"27",2015-01-17,"Dahntay Jones",0,0,0,0,0,0,0,1,0,4.8,2,0,0,0,2,0
"28",2014-12-13,"Darius Morris",0,2,1,0,0,1,0,0,0,5.08,2,1,1,0,0,0
"29",2015-04-12,"David Stockton",0,2,1,0,0,0,0,0,0,7,1,0,4,2,0,0
"30",2015-04-01,"David Wear",0,0,0,1,0,0,0,1,0,4.75,2,0,0,0,1,0
"31",2015-11-08,"Delon Wright",0,0,0,0,0,0,0,0,0,2.65,1,0,0,0,0,0
"32",2014-10-30,"Devyn Marble",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
"33",2015-04-05,"Dwight Buycks",0,9,1,1,2,4,2,2,2,21.7,6,3,1,1,1,0
"34",2014-11-21,"Dwight Powell",0,2,0,0,0,0,0,0,0,2.47,1,1,0,0,1,0
"35",2015-02-25,"Earl Barron",0,2,0,2,0,0,0,0,0,9.05,1,0,2,2,2,0
"36",2015-01-10,"Elliot Williams",0,3,0,0,1,3,1,3,2,21.42,6,1,0,0,0,0
"37",2014-11-30,"Eric Moreland",0,0,0,0,1,0,0,0,0,1.23,0,0,0,0,1,0
"38",2015-10-30,"Frank Kaminsky",0,5,1,0,3,0,1,2,0,13.52,5,2,0,0,1,0
"39",2014-10-29,"Garrett Temple",0,6,1,2,5,3,2,6,2,30.92,8,2,0,0,1,1
"40",2014-11-07,"Gerald Wallace",0,2,0,0,1,0,0,0,1,8.37,2,0,2,2,0,0
"41",2014-11-15,"Glenn Robinson",0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0
"42",2014-10-30,"Greg Smith",0,0,0,2,1,0,0,0,0,2.87,1,0,0,0,0,0
"43",2014-12-07,"Hassan Whiteside",0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0
"44",2014-10-30,"Ian Clark",0,3,0,0,0,0,1,1,0,3.52,1,1,0,0,0,0
"45",2016-01-22,"J.J. O'Brien",0,0,0,0,0,0,0,0,0,1.82,1,0,0,0,0,0
"46",2015-03-16,"Jack Cooley",0,2,0,0,3,0,0,0,1,10.07,3,1,0,0,1,0
"47",2014-10-31,"JaKarr Sampson",0,0,0,0,0,1,0,1,0,5.1,1,0,0,0,0,1
