"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","winrate_season_selected_team","winrate_season_opposing_team","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","performance"
0,-0.0137842164664897,0,0.00615803590758358,0.00537682861433094,0.0273860534604579,-0.0151001646668752,0,0.0583395302268413,0,0.00030918049693961,0,0,-0.0176052658641392,-0.0760059352875469,0,0,-0.0136288482983025,-0.0903045260110893,0,0,-0.0810553988976501,-0.0201832508433982,0,0,-0.111888534803243,0.190616144824106,-0.543994010380478,"2020-02-23  aadeeeeGllnnNoOrsSttw",2020-02-23,"Golden State","New Orleans","Golden State","New Orleans",-0.341986512432581,-0.353377865556373
-0.0340506658420851,0,0,0.00239565045626941,-0.0119164225516221,0.0621804212483789,0,-0.134572019185869,0.17546002948813,-0.00514820111800285,0.00048317334169287,-0.0354810201945109,0,-0.0104677801449592,0,-0.000581935589994714,0,0.0157350699780549,0.00772688817928564,-0.0214913794278118,0,0,0.0057669352049465,-0.290853209992046,0,0,0.724230198813302,-0.660692838829744,"2020-02-23 aABekLLnoorsst",2020-02-23,"LA Lakers","Boston","Boston","LA Lakers",-0.274814466150143,0.0635373599835577
-0.030123078822619,-0.0349985100744223,0,-0.000748495732336531,-0.00360632832660847,0.0259932052036465,0,0,0,0.0058235898647007,-0.000440520178054942,0.0282735956337162,0,0,0,-0.000296497420484152,0,-0.00275086923909951,0.0451906920221765,-0.0013108342074674,0,0.0048301810649587,0.0270940256985857,0,0,0,0.243490736598588,-0.516828742499544,"2020-02-23aacCgghhiinnoostW",2020-02-23,"Chicago","Washington","Chicago","Washington",0.062930155486692,-0.273338005900957
0.0100982068964888,-0.0290155020246007,-0.0641206403248965,0.0118942038897505,0,0.0278757150086175,0.213665919105664,0,0,-0.00413763014274211,0.000262718428926851,0,0,0.0124933803433274,0,0.00035585261496446,0,-0.0146446540757166,0.104266553323244,-0.00715395292965606,0,0,0,0,0,-0.0150985021065603,0.849492836254943,-0.414204152559446,"2020-02-23aadiInnnooortT",2020-02-23,"Toronto","Indiana","Toronto","Indiana",0.246741668006811,0.435288683695497
0.0591479562744362,0,0,0.0237803192602385,0,-0.107072245456016,0,0,0.114661839929122,-0.0053671055792603,-0.000331713382238572,0,0,-0.00484017664578108,0,0.000448370607851059,0.0148318183771847,0.00258155284912475,0,0.00701294776090108,-0.00356433543754531,-0.0870516808343727,-0.0328010517785365,0,0,0,0.234763877792477,-0.493350420933647,"2020-02-23adDeilnooPrrttt",2020-02-23,"Portland","Detroit","Detroit","Portland",-0.0185635040548917,-0.258586543141169
0,0.0349921556891612,0,-0.0039027655477612,-0.00979383557035149,-0.0243415951879374,0.0904714313428438,0,-0.050673758429235,0,0,0.0265474424059573,0,0.000706773686276086,0,-0.000369339153079466,0,-0.00759331305339787,0.019564724928569,0.00631513819338859,0,0.070235474409181,0.0186664314283464,-0.237381606752444,0,0,0.0769192159073887,-0.59197299707023,"2020-02-23aDeeeiMnnnorstv",2020-02-23,"Denver","Minnesota","Minnesota","Denver",-0.0665566416104829,-0.515053781162842
0,0.000906164356601707,0.0586986058886459,0.0174208744339106,-0.0117002716880261,0.0319044303022694,-0.0675356828916307,0,-0.142263590874969,0,0,0,0,0.0145486377104016,0.051035707962398,0,0,-0.0130099135242632,-0.0394400459198566,0,0,-0.0670015189166907,-0.0095018168971221,0,-0.0407792635928414,0.00452411608696229,0.472696523540803,-0.494644344626735,"2020-02-24 ACeehiilLmMppprss",2020-02-24,"LA Clippers","Memphis","Memphis","LA Clippers",-0.21219356756421,-0.0219478210859326
-0.0501221485667885,0.0275326023400599,0.0578510441035136,0.0149722188917488,0.0115619889291603,-0.0204028909379356,0,0,-0.0688835589781349,0,-0.000467770920189433,0,0.272779234742281,0.00979729956811428,0,-0.00162539712299126,-0.0100789296785507,-0.0187443137643965,0.0339455983275238,0.00781351468941413,0.00896955088815828,0,0,0.228406232245825,0,0,0.570064723563554,-0.419292537534741,"2020-02-24 eHknNooorstuwY",2020-02-24,"Houston","New York","Houston","New York",0.503304274756812,0.150772186028813
0,0.0111406018865072,0,0,0,0.0168257766654763,0,0.0991891109316837,-0.121149855824231,0,-0.000484064374082434,0,0,0.00410994802370285,0,0.00128158873708902,0.00481284390835819,-0.0135268327702752,0.0429235170633507,-0.00843876487787813,0,-0.0735728253364189,0,0.247999153810384,0.097914352765008,-0.0602665371689956,0.453965948104837,-0.423831621187157,"2020-02-24aaaaAdehhiilllnpPtt",2020-02-24,"Philadelphia","Atlanta","Philadelphia","Atlanta",0.24875801343968,0.0301343269176804
0,0.0203654712191883,0.0601382866239575,0.033466812299145,0,-0.06272598308488,-0.0846602754973759,0,0.0462018685064169,-0.00197297266452809,0,-0.016933314385393,0,0.00895337691308592,-0.0758815066967364,0.000131298249489907,0,0.0255785844387665,-0.0913288774047348,0,0,0.00638895142575727,0,0,0,0,0.39256945948886,-0.0780107484735161,"2020-02-24aaaDeillMnnosst",2020-02-24,"Dallas","Minnesota","Dallas","Minnesota",-0.132278280057841,0.314558711015344
