"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Troy Brown Jr.","Washington","SG",20,"6' 6""",215,3219480,"Washington Wizards",NA,NA,NA,NA,NA
"Troy Daniels","LA Lakers","SG",28,"6' 4""",200,1620564,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Ty Jerome","Phoenix","G",22,"6' 5""",195,2193480,"Phoenix Suns",NA,NA,NA,NA,NA
"Tyler Cook","Cleveland","PF",22,"6' 8""",255,NA,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Tyler Herro","Miami","SG",19,"6' 5""",195,3640200,"Miami Heat",NA,NA,NA,NA,NA
"Tyler Johnson","Phoenix","SG",27,"6' 3""",186,19245370,"Phoenix Suns","Day-To-Day","Dec 19",NA,2019-12-23,2019-12-22
"Tyson Chandler","Houston","C",37,"7' 0""",235,1620564,"Houston Rockets",NA,NA,NA,NA,NA
"Tyus Jones","Memphis","PG",23,"6' 0""",196,9258000,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Udonis Haslem","Miami","PF",39,"6' 8""",235,1620564,"Miami Heat",NA,NA,NA,NA,NA
"Victor Oladipo","Indiana","SG",27,"6' 4""",213,2.1e+07,"Indiana Pacers","Out",NA,"Jan 8",2020-01-08,2019-12-22
"Vince Carter","Atlanta","SG",42,"6' 6""",220,1620564,"Atlanta Hawks",NA,NA,NA,NA,NA
"Vincent Poirier","Boston","C",26,"7' 0""",235,2505793,"Boston Celtics","Out","Dec 18","Jan 20",2020-01-20,2019-12-22
"Vlatko Cancar","Denver","SF",22,"6' 8""",236,898310,"Denver Nuggets",NA,NA,NA,NA,NA
"Wayne Ellington","New York","SG",32,"6' 4""",207,8e+06,"New York Knicks","Out","Dec 19","Game Time Decision",2019-12-23,2019-12-22
"Wendell Carter Jr.","Chicago","C",20,"6' 9""",270,5201400,"Chicago Bulls","Day-To-Day","Dec 20",NA,2019-12-23,2019-12-22
"Wenyen Gabriel","Sacramento","PF",22,"6' 9""",205,1445697,"Sacramento Kings",NA,NA,NA,NA,NA
"Wes Iwundu","Orlando","SF",25,"6' 6""",195,1618420,"Orlando Magic",NA,NA,NA,NA,NA
"Wesley Matthews","Milwaukee","SG",33,"6' 4""",220,2564753,"Milwaukee Bucks","Day-To-Day","Dec 22","Game Time Decision",2019-12-23,2019-12-22
"Will Barton","Denver","SG",28,"6' 5""",181,12776786,"Denver Nuggets",NA,NA,NA,NA,NA
"Willie Cauley-Stein","Golden State","C",26,"7' 0""",240,2177483,"Golden State Warriors",NA,NA,NA,NA,NA
"Willy Hernangomez","Charlotte","C",25,"6' 11""",250,1676735,"Charlotte Hornets",NA,NA,NA,NA,NA
"Wilson Chandler","Brooklyn","SF",32,"6' 8""",235,1620564,"Brooklyn Nets",NA,NA,NA,NA,NA
"Yogi Ferrell","Sacramento","PG",26,"6' 0""",178,3150000,"Sacramento Kings",NA,NA,NA,NA,NA
"Yuta Watanabe","Memphis","SG",25,"6' 8""",215,NA,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Zach Collins",NA,"PF",22,"6' 11""",250,4240200,"Portland Trailblazers","Out",NA,"Mar 15",2020-03-14,2019-12-22
"Zach LaVine","Chicago","PG",24,"6' 6""",200,19500000,"Chicago Bulls","Day-To-Day","Dec 20",NA,2019-12-23,2019-12-22
"Zhaire Smith","Philadelphia","SG",20,"6' 3""",205,3058800,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Zion Williamson","New Orleans","SF",19,"6' 6""",284,9757440,"New Orleans Pelicans","Out",NA,"Jan 8",2020-01-08,2019-12-22
"Zylan Cheatham","New Orleans","SF",24,"6' 5""",220,NA,"New Orleans Pelicans",NA,NA,NA,NA,NA
