"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Josh Jackson","Phoenix","SF",21,"6' 8""",200,6041520,"Phoenix Suns",NA,NA,NA,NA,NA
"Josh Okogie","Minnesota","SG",20,"6' 4""",212,2160720,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Josh Richardson","Miami","SG",25,"6' 6""",200,9367200,"Miami Heat",NA,NA,NA,NA,NA
"JR Smith","Cleveland","SG",33,"6' 6""",225,14720000,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Jrue Holiday","New Orleans","PG",28,"6' 4""",205,25976111,"New Orleans Pelicans",NA,NA,NA,NA,NA
"Juan Hernangomez","Denver","PF",23,"6' 9""",230,2166360,"Denver Nuggets",NA,NA,NA,NA,NA
"Julian Washburn","Memphis","SF",27,"6' 8""",209,NA,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Julius Randle","New Orleans","C",24,"6' 9""",250,8641000,"New Orleans Pelicans","Out","Feb 6",NA,2019-02-10,2019-02-09
"Justin Anderson","Atlanta","SG",25,"6' 6""",230,2516048,"Atlanta Hawks",NA,NA,NA,NA,NA
"Justin Holiday","Memphis","SF",29,"6' 6""",181,4384616,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Justin Jackson","Dallas","SF",23,"6' 8""",210,2807880,"Dallas Mavericks","Day-To-Day","Feb 8",NA,2019-02-10,2019-02-09
"Justin Patton","Philadelphia","C",21,"7' 0""",241,2667600,"Philadelphia 76ers","Out","Feb 7","Feb 21",2019-02-21,2019-02-09
"Justise Winslow","Miami","SF",22,"6' 7""",225,3448926,"Miami Heat",NA,NA,NA,NA,NA
"Jusuf Nurkic","Portland","C",24,"7' 0""",275,11111111,"Portland Trailblazers",NA,NA,NA,NA,NA
"Kadeem Allen","New York","SG",26,"6' 3""",200,NA,"New York Knicks",NA,NA,NA,NA,NA
"Kalin Lucas","Detroit","PG",29,"6' 1""",195,NA,"Detroit Pistons",NA,NA,NA,NA,NA
"Karl-Anthony Towns","Minnesota","C",23,"7' 0""",248,7839435,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Kawhi Leonard","Toronto","SF",27,"6' 7""",230,23114067,"Toronto Raptors","Day-To-Day","Feb 8",NA,2019-02-10,2019-02-09
"Keita Bates-Diop","Minnesota","SF",23,"6' 9""",229,838464,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Kelly Olynyk","Miami","PF",27,"7' 0""",240,12537527,"Miami Heat",NA,NA,NA,NA,NA
"Kelly Oubre Jr.","Phoenix","SF",23,"6' 7""",205,3208630,"Phoenix Suns",NA,NA,NA,NA,NA
"Kemba Walker","Charlotte","PG",28,"6' 1""",184,1.2e+07,"Charlotte Hornets",NA,NA,NA,NA,NA
"Kenneth Faried","Houston","PF",29,"6' 8""",220,683661,"Houston Rockets",NA,NA,NA,NA,NA
"Kenrich Williams","New Orleans","SG",24,"6' 7""",210,838464,"New Orleans Pelicans",NA,NA,NA,NA,NA
"Kent Bazemore","Atlanta","SG",29,"6' 5""",201,18089887,"Atlanta Hawks",NA,NA,NA,NA,NA
"Kentavious Caldwell-Pope","LA Lakers","SG",25,"6' 5""",205,1.2e+07,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Kevin Durant","Golden State","SF",30,"6' 9""",240,3e+07,"Golden State Warriors",NA,NA,NA,NA,NA
"Kevin Huerter","Atlanta","SG",20,"6' 7""",190,2250960,"Atlanta Hawks",NA,NA,NA,NA,NA
"Kevin Knox","New York","SF",19,"6' 9""",215,3739920,"New York Knicks",NA,NA,NA,NA,NA
"Kevin Love","Cleveland","PF",30,"6' 10""",251,24119025,"Cleveland Cavaliers","Day-To-Day","Feb 9","Feb 11",2019-02-11,2019-02-09
"Kevon Looney","Golden State","C",23,"6' 9""",220,1512601,"Golden State Warriors",NA,NA,NA,NA,NA
"Khem Birch","Orlando","C",26,"6' 9""",233,1378242,"Orlando Magic",NA,NA,NA,NA,NA
"Khris Middleton","Milwaukee","SF",27,"6' 8""",222,1.3e+07,"Milwaukee Bucks","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"Khyri Thomas","Detroit","SG",22,"6' 3""",210,838464,"Detroit Pistons",NA,NA,NA,NA,NA
"Klay Thompson","Golden State","SG",28,"6' 7""",215,18988725,"Golden State Warriors",NA,NA,NA,NA,NA
"Kosta Koufos","Sacramento","C",29,"7' 0""",245,8739500,"Sacramento Kings",NA,NA,NA,NA,NA
"Kostas Antetokounmpo","Dallas","PF",21,"6' 10""",200,NA,"Dallas Mavericks","Day-To-Day","Feb 8",NA,2019-02-10,2019-02-09
"Kris Dunn","Chicago","PG",24,"6' 4""",205,4221000,"Chicago Bulls",NA,NA,NA,NA,NA
"Kristaps Porzingis","Dallas","PF",23,"7' 3""",240,5697054,"Dallas Mavericks","Out",NA,"Jul 1",2019-07-01,2019-02-09
"Kyle Anderson","Memphis","SF",25,"6' 9""",230,8641000,"Memphis Grizzlies","Out","Feb 8","Feb 12",2019-02-12,2019-02-09
