"OWN_TEAM","PLAYER_FULL_NAME"
"Philadelphia","Sergio Rodriguez"
"Philadelphia","Timothe Luwawu"
"Philadelphia","TJ McConnell"
"Phoenix","Alan Williams"
"Phoenix","Alex Len"
"Phoenix","Brandon Knight"
"Phoenix","Devin Booker"
"Phoenix","Dragan Bender"
"Phoenix","Eric Bledsoe"
"Phoenix","Jared Dudley"
"Phoenix","Leandro Barbosa"
"Phoenix","Marquese Chriss"
"Phoenix","PJ Tucker"
"Phoenix","TJ Warren"
"Phoenix","Tyler Ulis"
"Phoenix","Tyson Chandler"
"Portland","Al-Farouq Aminu"
"Portland","Allen Crabbe"
"Portland","CJ McCollum"
"Portland","Damian Lillard"
"Portland","Ed Davis"
"Portland","Evan Turner"
"Portland","Jake Layman"
"Portland","Mason Plumlee"
"Portland","Maurice Harkless"
"Portland","Meyers Leonard"
"Portland","Noah Vonleh"
"Portland","Pat Connaughton"
"Portland","Shabazz Napier"
"Sacramento","Anthony Tolliver"
"Sacramento","Arron Afflalo"
"Sacramento","Ben McLemore"
"Sacramento","Darren Collison"
"Sacramento","DeMarcus Cousins"
"Sacramento","Garrett Temple"
"Sacramento","Georgios Papagiannis"
"Sacramento","Jordan Farmar"
"Sacramento","Kosta Koufos"
"Sacramento","Matt Barnes"
"Sacramento","Omri Casspi"
"Sacramento","Rudy Gay"
"Sacramento","Skal Labissiere"
"Sacramento","Ty Lawson"
"Sacramento","Willie Cauley-Stein"
"San Antonio","Bryn Forbes"
"San Antonio","Danny Green"
"San Antonio","David Lee"
"San Antonio","Davis Bertans"
"San Antonio","Dewayne Dedmon"
"San Antonio","Jonathon Simmons"
"San Antonio","Kawhi Leonard"
"San Antonio","Kyle Anderson"
"San Antonio","LaMarcus Aldridge"
"San Antonio","Manu Ginobili"
"San Antonio","Nicolas Laprovittola"
"San Antonio","Patty Mills"
"San Antonio","Pau Gasol"
"San Antonio","Tony Parker"
"Toronto","Cory Joseph"
"Toronto","DeMar DeRozan"
"Toronto","DeMarre Carroll"
"Toronto","Jakob Poeltl"
"Toronto","Jonas Valanciunas"
"Toronto","Kyle Lowry"
"Toronto","Lucas Nogueira"
"Toronto","Norman Powell"
"Toronto","Pascal Siakam"
"Toronto","Patrick Patterson"
"Toronto","Terrence Ross"
"Utah","Boris Diaw"
"Utah","Dante Exum"
"Utah","Derrick Favors"
"Utah","George Hill"
"Utah","Gordon Hayward"
"Utah","Jeff Withey"
"Utah","Joe Ingles"
"Utah","Joe Johnson"
"Utah","Rodney Hood"
"Utah","Rudy Gobert"
"Utah","Shelvin Mack"
"Utah","Trey Lyles"
"Washington","Andrew Nicholson"
"Washington","Bradley Beal"
"Washington","Jason Smith"
"Washington","John Wall"
"Washington","Kelly Oubre"
"Washington","Marcin Gortat"
"Washington","Marcus Thornton"
"Washington","Markieff Morris"
"Washington","Otto Porter"
"Washington","Sheldon McClellan"
"Washington","Tomas Satoransky"
"Washington","Trey Burke"
