"OWN_TEAM","PLAYER_FULL_NAME","injury_status","injury_date"
"Milwaukee","Rashad Vaughn",NA,NA
"Milwaukee","Tony Snell",NA,NA
"Minnesota","Adreian Payne",NA,NA
"Minnesota","Andrew Wiggins",NA,NA
"Minnesota","Brandon Rush","Out","Nov 21"
"Minnesota","Cole Aldrich",NA,NA
"Minnesota","Gorgui Dieng",NA,NA
"Minnesota","Jordan Hill",NA,NA
"Minnesota","Karl-Anthony Towns",NA,NA
"Minnesota","Kris Dunn",NA,NA
"Minnesota","Nemanja Bjelica",NA,NA
"Minnesota","Ricky Rubio",NA,NA
"Minnesota","Shabazz Muhammad","Out","Nov 19"
"Minnesota","Tyus Jones",NA,NA
"Minnesota","Zach LaVine",NA,NA
"New Orleans","Alexis Ajinca","Day-To-Day","Nov 19"
"New Orleans","Anthony Davis","Day-To-Day","Nov 23"
"New Orleans","Archie Goodwin",NA,NA
"New Orleans","Buddy Hield",NA,NA
"New Orleans","Cheick Diallo",NA,NA
"New Orleans","Dante Cunningham","Day-To-Day","Nov 23"
"New Orleans","E'Twaun Moore",NA,NA
"New Orleans","Jrue Holiday",NA,NA
"New Orleans","Lance Stephenson",NA,NA
"New Orleans","Langston Galloway",NA,NA
"New Orleans","Omer Asik",NA,NA
"New Orleans","Solomon Hill",NA,NA
"New Orleans","Terrence Jones","Day-To-Day","Nov 23"
"New Orleans","Tim Frazier",NA,NA
"New York","Brandon Jennings",NA,NA
"New York","Carmelo Anthony",NA,NA
"New York","Courtney Lee",NA,NA
"New York","Derrick Rose",NA,NA
"New York","Joakim Noah","Day-To-Day","Nov 22"
"New York","Justin Holiday",NA,NA
"New York","Kristaps Porzingis",NA,NA
"New York","Kyle O'Quinn",NA,NA
"New York","Lance Thomas","Out","Nov 21"
"New York","Maurice Ndour",NA,NA
"New York","Mindaugas Kuzminskas",NA,NA
"New York","Ron Baker",NA,NA
"New York","Sasha Vujacic",NA,NA
"New York","Willy Hernangomez",NA,NA
"Oklahoma City","Alex Abrines",NA,NA
"Oklahoma City","Andre Roberson",NA,NA
"Oklahoma City","Anthony Morrow",NA,NA
"Oklahoma City","Domantas Sabonis",NA,NA
"Oklahoma City","Enes Kanter",NA,NA
"Oklahoma City","Ersan Ilyasova","Day-To-Day","Nov 21"
"Oklahoma City","Jerami Grant",NA,NA
"Oklahoma City","Joffrey Lauvergne",NA,NA
"Oklahoma City","Kyle Singler",NA,NA
"Oklahoma City","Russell Westbrook",NA,NA
"Oklahoma City","Semaj Christon","Day-To-Day","Nov 21"
"Oklahoma City","Steven Adams",NA,NA
"Oklahoma City","Victor Oladipo",NA,NA
"Orlando","Aaron Gordon",NA,NA
"Orlando","Arinze Onuaku",NA,NA
"Orlando","Bismack Biyombo",NA,NA
"Orlando","CJ Watson",NA,NA
"Orlando","CJ Wilcox",NA,NA
